Date,open,high,low,close,volume,market_cap,year_week
2014-04-01,468.48010552,491.2672728,468.48010552,479.0234337,62894.68306786,30128027.04467774,2014-week(13)
2014-04-02,479.67961534,494.11133702,430.72590933,438.37782382,96314.58755168,42222179.29297322,2014-week(13)
2014-04-03,437.32208923,452.4414054,414.8111042,446.81975514,74292.74954889,33195468.16222008,2014-week(13)
2014-04-04,454.83791375333334,465.35954265000004,441.6297711866667,459.4137045933333,25822.237961386665,11812654.52353465,2014-week(13)
2014-04-07,462.12175864,465.23847591,443.34249981,448.45264584,28631.52628784,12839883.71817693,2014-week(14)
2014-04-08,446.73871546,463.62650629,444.7773765,452.47466362,18306.71112114,8283322.95653997,2014-week(14)
2014-04-09,452.16979694,464.30514965,440.36643951,449.89217685,23268.96123972,10468523.62519942,2014-week(14)
2014-04-10,448.90053917,449.18903453,356.45547533,362.64713602,134882.3449919,48914696.11114684,2014-week(14)
2014-04-11,401.01640228333326,435.13663041,385.01828226666663,418.1587199,72954.00825985333,30561614.88486613,2014-week(14)
2014-04-14,414.33989727,470.6592307,406.39709638,458.22015327,94204.25765471,43166289.38142468,2014-week(15)
2014-04-15,457.23403204,525.50803159,453.53754179,520.86876938,88758.50470496,46231533.1179888,2014-week(15)
2014-04-16,520.16821054,546.60773263,493.95939242,527.85605542,88795.38783169,46871183.16011511,2014-week(15)
2014-04-17,530.10129744,534.21017896,482.62856307,496.09389088,56110.23794251,27835946.25927049,2014-week(15)
2014-04-18,492.58832531999997,507.06110047,476.84622523,492.89368012,26369.331741243335,12965055.079693317,2014-week(15)
2014-04-21,497.31590211,510.99671883,491.09971897,494.00649902,23657.39813154,11686908.42691604,2014-week(16)
2014-04-22,493.62698343,517.15439499,484.58752447,486.00832849,19234.24237613,9348001.98707138,2014-week(16)
2014-04-23,485.86374874,502.55493437,483.46786662,490.45476887,14675.49691799,7197667.44902554,2014-week(16)
2014-04-24,490.5225332,515.3894319,479.37137207,500.52266729,19304.11509746,9662147.17820426,2014-week(16)
